date_BTCUSDT,open_BTCUSDT,high_BTCUSDT,low_BTCUSDT,close_BTCUSDT,volume_BTCUSDT
01/12/2017 00:00:00,9575.04000000,9575.04000000,9540.02000000,9551.00000000,2.03180900
01/12/2017 00:01:00,9558.00000000,9558.50000000,9551.00000000,9552.01000000,1.27458400
01/12/2017 00:02:00,9552.07000000,9582.00000000,9552.07000000,9582.00000000,0.37430400
01/12/2017 00:03:00,9590.00000000,9599.99000000,9585.01000000,9599.99000000,0.07411300
01/12/2017 00:04:00,9600.00000000,9629.93000000,9561.03000000,9624.97000000,2.46954700
01/12/2017 00:05:00,9590.02000000,9624.97000000,9590.02000000,9624.97000000,4.29358700
01/12/2017 00:06:00,9625.00000000,9628.00000000,9610.53000000,9625.00000000,6.12825400
01/12/2017 00:07:00,9595.00000000,9625.00000000,9595.00000000,9602.02000000,3.16165000
