date_ADABTC,open_ADABTC,high_ADABTC,low_ADABTC,close_ADABTC,volume_ADABTC
01/12/2017 00:00:00,0.04419500,0.04421100,0.04409500,0.04414800,133.49100000
01/12/2017 00:01:00,0.04414800,0.04415100,0.04411700,0.04414800,74.52800000
01/12/2017 00:02:00,0.04411700,0.04413400,0.04408800,0.04409300,11.29000000
01/12/2017 00:03:00,0.04409300,0.04416800,0.04405300,0.04406800,38.48600000
01/12/2017 00:04:00,0.04406800,0.04408300,0.04405100,0.04405100,20.95400000
01/12/2017 00:05:00,0.04404600,0.04406500,0.04396000,0.04404500,78.80200000
01/12/2017 00:06:00,0.04404500,0.04409600,0.04404500,0.04409600,23.94800000
01/12/2017 00:07:00,0.04406000,0.04420000,0.04406000,0.04412000,65.94800000
01/12/2017 00:08:00,0.04412300,0.04414700,0.04408800,0.04413000,9.23700000
01/12/2017 00:09:00,0.04413100,0.04413200,0.04408800,0.04409300,10.59100000
